,Compound,Date,Negative,Neutral,Positive,Source,Text
7,0.2023,03/28/2018,0.728,0.117,0.155,@FoxNews,An American flag flies from a Westhampton Beach Fire Department ladder following a dignified arrival of the repatri… https://t.co/ltur5AVBv8
8,-0.7003,03/28/2018,0.5,0.383,0.117,@FoxNews,Vegas police say 5 arrests in MS-13 case solves 10 murders https://t.co/d9QfRG2Zpm https://t.co/GV7NWP48jA
9,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,".@TomiLahren: “The wall is common sense. The left has dominated this conversation, and they’ve made the wall some k… https://t.co/EQB0LdVwQ0"
10,-0.128,03/28/2018,0.927,0.073,0.0,@FoxNews,This baby orangutan at the Phoenix Zoo got a front-row seat when a young boy began performing tricks with his yo-yo. https://t.co/TlX7RStMvx
11,-0.7783,03/28/2018,0.57,0.43,0.0,@FoxNews,Funeral plans set for Iowa family found dead in Mexico https://t.co/VERjFXZRhk
12,0.3818,03/28/2018,0.874,0.0,0.126,@FoxNews,.@JohnJamesMI: “Donald #Trump is delivering on his promises and the people in the state of Michigan are benefiting… https://t.co/DpM9blM1m3
13,0.4019,03/28/2018,0.828,0.0,0.172,@FoxNews,Elizabeth Smart claims in new book her kidnapper tried to abduct another girl https://t.co/JhZBVDzVLt
14,0.4576,03/28/2018,0.85,0.0,0.15,@FoxNews,"George Rodriguez: ""Democrats are more interested in sanctuary cities and protecting people that enter the country i… https://t.co/ErlddWXyvm"
15,-0.5106,03/28/2018,0.845,0.155,0.0,@FoxNews,New York Magazine reporter doubles down as outrage grows over alleged home invasion of Corey Lewandowski’s DC crash… https://t.co/LwODxt8F6Z
16,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,Dad holds “Say No” sign during proposal https://t.co/OJOXoWr9Hf
17,-0.7003,03/28/2018,0.655,0.345,0.0,@FoxNews,"Auto crash at Oakland airport injures 2; unlicensed driver arrested, police say https://t.co/Nfmbv1Yvd1"
18,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,"""Live a purposeful life.""

99-year-old WWII vet Sidney Walton and his son Paul are on a cross-country tour to meet… https://t.co/Hvq273kSzw"
19,-0.2263,03/28/2018,0.863,0.137,0.0,@FoxNews,"Protesters for Stephon Clark disrupt Sacramento City Council meeting, march to arena https://t.co/YkP3Zbj1au"
20,-0.5423,03/28/2018,0.857,0.143,0.0,@FoxNews,"""The ones that are bad need to be weeded out.""

American who escaped Al Qaeda captivity says @FBI, under Mueller an… https://t.co/1f20Ml9oDd"
21,0.6124,03/28/2018,0.778,0.0,0.222,@FoxNews,.@RepKinzinger: “[President @realDonaldTrump’s] actions have been outstanding up to this point. He’s been probably… https://t.co/3ZkMEuYqlF
22,-0.5574,03/28/2018,0.854,0.146,0.0,@FoxNews,Capri Cafaro on proposed legislation that would ban work email after hours in NYC: “This is not part of American cu… https://t.co/Q1geHLagLU
23,-0.5574,03/28/2018,0.783,0.217,0.0,@FoxNews,"FBI boss Wray 'doubling' agents responding to subpoena on Clinton, McCabe, FISA abuses https://t.co/dYwvae0Gjj"
24,-0.6514,03/28/2018,0.761,0.239,0.0,@FoxNews,"Shawn Nelson, Orange County supervisor on California: “It’s time to end this nonsense, and stop being a breakaway r… https://t.co/4k3IXQeVYi"
25,-0.5574,03/28/2018,0.825,0.175,0.0,@FoxNews,Senator Jim Inhofe will introduce bill that would send illegal border crossers immediately back to home country https://t.co/fNDmf1SRf9
26,-0.5994,03/28/2018,0.755,0.245,0.0,@FoxNews,".@MonicaCrowley: ""The left has long been at war with the Constitution."" @IngrahamAngle https://t.co/aRMZlVg2Ji"
27,-0.296,03/28/2018,0.845,0.155,0.0,@FoxNews,Harvey Weinstein's former assistant claims she tried to stop him in 1998 https://t.co/0i8gLOn6Vt
28,-0.3818,03/28/2018,0.822,0.178,0.0,@FoxNews,"Orange County votes to fight California's sanctuary city laws, joining sheriff's pushback https://t.co/H4moAuUf6J"
29,-0.743,03/28/2018,0.521,0.342,0.137,@FoxNews,"""It is a tragedy.""

Sandy Best, sister of a woman killed by an illegal immigrant who was drunk driving, speaks out.… https://t.co/TeHZTTEQAO"
30,-0.8885,03/28/2018,0.462,0.538,0.0,@FoxNews,"Illegal immigrant who tortured dog gets prison time, to be deported https://t.co/pko5ae1c7c"
31,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,Kansas considers making schools liable for not arming staff https://t.co/3mbhnz8n7T
32,0.7906,03/28/2018,0.696,0.0,0.304,@FoxNews,.@JesseBWatters on former Supreme Court justice who called for repealing the 2nd Amendment: “This is a slippery slo… https://t.co/774MeSLA9A
33,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,".@TomiLahren: “The wall is common sense. The left has dominated this conversation, and they’ve made the wall some k… https://t.co/KiRDOM5rZN"
34,0.4404,03/28/2018,0.552,0.159,0.29,@FoxNews,"Owl gets loose at wedding, leaves best man 'terrified' https://t.co/FRyLScDdUA"
35,-0.2212,03/28/2018,0.901,0.099,0.0,@FoxNews,.@dbongino: “You don’t enact a law for the purpose of absolutely black-and-white stopping an activity. You make it… https://t.co/HQlaF971Me
36,0.7351,03/28/2018,0.64,0.0,0.36,@FoxNews,".@candacecbure credits Jesus and the Bible for her happy, 22-year marriage https://t.co/0yGdWqlzPD https://t.co/Mz6DFjVq62"
37,-0.7579,03/28/2018,0.606,0.394,0.0,@FoxNews,Al Sharpton's half brother charged with capital murder in Alabama shooting https://t.co/mmEopztFIb
38,0.2732,03/28/2018,0.851,0.0,0.149,@FoxNews,'Roseanne' Is Now a Big #Trump Supporter in Reboot of Hit 1990s Sitcom https://t.co/dqClNtgxD2
39,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,OPINION: #Trump is right -- California is out of control https://t.co/WY1OICe9P5
40,-0.3818,03/28/2018,0.822,0.178,0.0,@FoxNews,"Orange County votes to fight California's sanctuary city laws, joining sheriff's pushback https://t.co/mXpvYoNZRa"
41,-0.4215,03/28/2018,0.811,0.189,0.0,@FoxNews,HAVING A 'RUFF' TIME: Does Charlie look guilty of getting into the trash? https://t.co/VE5XpXOktM
42,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,"Kim Jong Un meets with Chinese leader on 'unofficial visit,' state media says https://t.co/l36PkMXVE3"
43,0.4019,03/28/2018,0.87,0.0,0.13,@FoxNews,Orange County Sheriff Sandra Hutchens on her dept. publishing a “who’s in jail” database to help cooperation with I… https://t.co/z4dp6M6lu5
